Case 1
   Query 276: 456
   Query 277: 684
   Query 278: 456
   Query 279: 456
   Query 280: 684
   Query 281: 456
   Query 282: 684
   Query 283: 646
   Query 284: 456
   Query 285: 570
   Query 286: 684
   Query 287: 0
   Query 288: 0
   Query 289: 684
   Query 290: 722
   Query 291: 642
   Query 292: 874
   Query 293: 228
   Query 294: 0
   Query 295: 399
   Query 296: 228
   Query 297: 228
   Query 298: 228
   Query 299: 456
   Query 300: 228
   Query 301: 684
   Query 302: 906
   Query 303: 456
   Query 304: 456
   Query 305: 342
   Query 306: 0
   Query 307: 76
   Query 308: 456
   Query 309: 114
   Query 310: 228
   Query 311: 456
   Query 312: 456
   Query 313: 114
   Query 314: 114
   Query 315: 540
   Query 316: 608
   Query 317: 684
   Query 318: 798
   Query 319: 228
   Query 320: 798
   Query 321: 798
   Query 322: 480
   Query 323: 808
   Query 324: 228
   Query 325: 684
   Query 326: 36
   Query 327: 532
   Query 328: 684
   Query 329: 456
   Query 330: 522
   Query 331: 684
   Query 332: 426
   Query 333: 684
   Query 334: 456
   Query 335: 0
   Query 336: 0
   Query 337: 456
   Query 338: 576
   Query 339: 18
   Query 340: 894
   Query 341: 684
   Query 342: 114
   Query 343: 432
   Query 344: 855
   Query 345: 0
   Query 346: 57
   Query 347: 456
   Query 348: 0
   Query 349: 0
   Query 350: 228
   Query 351: 684
   Query 352: 36
   Query 353: 228
   Query 354: 684
   Query 355: 347
   Query 356: 0
   Query 357: 504
   Query 358: 228
   Query 359: 684
   Query 360: 0
   Query 361: 684
   Query 362: 0
   Query 363: 0
   Query 364: 114
   Query 365: 0
   Query 366: 456
   Query 367: 456
   Query 368: 72
   Query 369: 228
   Query 370: 228
   Query 371: 228
   Query 372: 0
   Query 373: 456
   Query 374: 456
   Query 375: 456
   Query 376: 456
   Query 377: 724
   Query 378: 684
   Query 379: 684
   Query 380: 228
   Query 381: 228
   Query 382: 228
   Query 383: 0
   Query 384: 684
   Query 385: 684
   Query 386: 0
   Query 387: 456
   Query 388: 228
   Query 389: 228
   Query 390: 732
   Query 391: 342
   Query 392: 684
   Query 393: 456
   Query 394: 228
   Query 395: 456
   Query 396: 228
   Query 397: 228
   Query 398: 228
   Query 399: 504
   Query 400: 0
   Query 401: 684
   Query 402: 114
   Query 403: 399
   Query 404: 456
   Query 405: 508
   Query 406: 684
   Query 407: 0
   Query 408: 570
   Query 409: 798
   Query 410: 684
   Query 411: 456
   Query 412: 228
   Query 413: 456
   Query 414: 0
   Query 415: 0
   Query 416: 684
   Query 417: 684
   Query 418: 0
   Query 419: 0
   Query 420: 342
   Query 421: 228
   Query 422: 0
   Query 423: 168
   Query 424: 741
   Query 425: 171
   Query 426: 192
   Query 427: 0
   Query 428: 228
   Query 429: 798
   Query 430: 684
   Query 431: 420
   Query 432: 684
   Query 433: 72
   Query 434: 0
   Query 435: 360
   Query 436: 0
   Query 437: 760
   Query 438: 684
   Query 439: 528
   Query 440: 684
   Query 441: 684
   Query 442: 684
   Query 443: 456
   Query 444: 228
   Query 445: 0
   Query 446: 684
   Query 447: 494
   Query 448: 228
   Query 449: 304
   Query 450: 684
   Query 451: 192
   Query 452: 684
   Query 453: 840
   Query 454: 0
   Query 455: 456
   Query 456: 684
   Query 457: 342
   Query 458: 228
   Query 459: 228
   Query 460: 38
   Query 461: 228
   Query 462: 684
   Query 463: 456
   Query 464: 228
   Query 465: 0
   Query 466: 0
   Query 467: 57
   Query 468: 0
   Query 469: 456
   Query 470: 228
   Query 471: 228
   Query 472: 456
   Query 473: 57
   Query 474: 228
   Query 475: 0
   Query 476: 684
   Query 477: 327
   Query 478: 684
   Query 479: 798
   Query 480: 456
   Query 481: 456
   Query 482: 684
   Query 483: 792
   Query 484: 114
   Query 485: 798
   Query 486: 0
   Query 487: 798
   Query 488: 456
   Query 489: 285
   Query 490: 708
   Query 491: 684
   Query 492: 171
   Query 493: 228
   Query 494: 228
   Query 495: 342
   Query 496: 627
   Query 497: 0
   Query 498: 0
   Query 499: 0
   Query 500: 0
   Query 501: 570
   Query 502: 684
   Query 503: 0
   Query 504: 774
   Query 505: 684
   Query 506: 228
   Query 507: 456
   Query 508: 456
   Query 509: 114
   Query 510: 456
   Query 511: 0
   Query 512: 636
   Query 513: 228
   Query 514: 0
   Query 515: 570
   Query 516: 760
   Query 517: 228
   Query 518: 684
   Query 519: 444
   Query 520: 228
   Query 521: 456
   Query 522: 204
   Query 523: 228
   Query 524: 456
   Query 525: 456
   Query 526: 216
   Query 527: 456
   Query 528: 228
   Query 529: 60
   Query 530: 228
   Query 531: 494
   Query 532: 152
   Query 533: 456
   Query 534: 228
   Query 535: 492
   Query 536: 0
   Query 537: 0
   Query 538: 852
   Query 539: 0
   Query 540: 216
   Query 541: 285
   Query 542: 684
   Query 543: 570
   Query 544: 380
   Query 545: 399
   Query 546: 228
   Query 547: 456
   Query 548: 228
   Query 549: 798
   Query 550: 57
   Query 551: 456
   Query 552: 456
   Query 553: 0
   Query 554: 76
   Query 555: 456
   Query 556: 228
   Query 557: 456
   Query 558: 456
   Query 559: 456
   Query 560: 456
   Query 561: 756
   Query 562: 0
   Query 563: 456
   Query 564: 228
   Query 565: 228
   Query 566: 684
   Query 567: 57
   Query 568: 456
   Query 569: 228
   Query 570: 456
   Query 571: 114
   Query 572: 114
   Query 573: 228
   Query 574: 636
   Query 575: 228
   Query 576: 570
   Query 577: 684
   Query 578: 228
   Query 579: 1
   Query 580: 684
   Query 581: 120
   Query 582: 0
   Query 583: 546
   Query 584: 456
   Query 585: 0
   Query 586: 228
   Query 587: 456
   Query 588: 810
   Query 589: 456
   Query 590: 741
   Query 591: 76
   Query 592: 684
   Query 593: 456
   Query 594: 228
   Query 595: 684
   Query 596: 456
   Query 597: 741
   Query 598: 84
   Query 599: 228
   Query 600: 456
   Query 601: 0
   Query 602: 152
   Query 603: 0
   Query 604: 90
   Query 605: 453
   Query 606: 844
   Query 607: 798
   Query 608: 456
   Query 609: 456
   Query 610: 0
   Query 611: 456
   Query 612: 684
   Query 613: 228
   Query 614: 228
   Query 615: 456
   Query 616: 684
   Query 617: 0
   Query 618: 228
   Query 619: 0
   Query 620: 684
   Query 621: 732
   Query 622: 228
   Query 623: 456
   Query 624: 522
   Query 625: 456
   Query 626: 0
   Query 627: 492
   Query 628: 456
   Query 629: 0
   Query 630: 456
   Query 631: 684
   Query 632: 888
   Query 633: 114
   Query 634: 684
   Query 635: 684
   Query 636: 209
   Query 637: 0
   Query 638: 228
   Query 639: 228
   Query 640: 285
   Query 641: 0
   Query 642: 888
   Query 643: 174
   Query 644: 594
   Query 645: 108
   Query 646: 0
   Query 647: 684
   Query 648: 300
   Query 649: 456
   Query 650: 0
   Query 651: 0
   Query 652: 456
   Query 653: 168
   Query 654: 276
   Query 655: 570
   Query 656: 228
   Query 657: 228
   Query 658: 456
   Query 659: 684
   Query 660: 798
   Query 661: 684
   Query 662: 798
   Query 663: 0
   Query 664: 0
   Query 665: 0
   Query 666: 852
   Query 667: 0
   Query 668: 684
   Query 669: 228
   Query 670: 399
   Query 671: 342
   Query 672: 684
   Query 673: 228
   Query 674: 570
   Query 675: 513
   Query 676: 636
   Query 677: 684
   Query 678: 156
   Query 679: 0
   Query 680: 456
   Query 681: 228
   Query 682: 0
   Query 683: 342
   Query 684: 228
   Query 685: 852
   Query 686: 456
   Query 687: 228
   Query 688: 228
   Query 689: 636
   Query 690: 456
   Query 691: 513
   Query 692: 456
   Query 693: 570
   Query 694: 204
   Query 695: 0
   Query 696: 0
   Query 697: 228
   Query 698: 684
   Query 699: 798
   Query 700: 0
   Query 701: 399
   Query 702: 456
   Query 703: 456
   Query 704: 456
   Query 705: 684
   Query 706: 84
   Query 707: 648
   Query 708: 228
   Query 709: 837
   Query 710: 12
   Query 711: 0
   Query 712: 228
   Query 713: 456
   Query 714: 0
   Query 715: 114
   Query 716: 456
   Query 717: 684
   Query 718: 57
   Query 719: 0
   Query 720: 456
   Query 721: 456
   Query 722: 768
   Query 723: 36
   Query 724: 228
   Query 725: 798
   Query 726: 0
   Query 727: 855
   Query 728: 456
   Query 729: 396
   Query 730: 456
   Query 731: 204
   Query 732: 684
   Query 733: 0
   Query 734: 0
   Query 735: 228
   Query 736: 228
   Query 737: 456
   Query 738: 684
   Query 739: 228
   Query 740: 0
   Query 741: 228
   Query 742: 684
   Query 743: 0
   Query 744: 228
   Query 745: 570
   Query 746: 0
   Query 747: 468
   Query 748: 0
   Query 749: 456
   Query 750: 684
   Query 751: 456
   Query 752: 0
   Query 753: 588
   Query 754: 684
   Query 755: 0
   Query 756: 699
   Query 757: 228
   Query 758: 570
   Query 759: 456
   Query 760: 570
   Query 761: 228
   Query 762: 456
   Query 763: 0
   Query 764: 798
   Query 765: 760
   Query 766: 0
   Query 767: 228
   Query 768: 456
   Query 769: 684
   Query 770: 228
   Query 771: 396
   Query 772: 0
   Query 773: 456
   Query 774: 66
   Query 775: 399
   Query 776: 855
   Query 777: 0
   Query 778: 152
   Query 779: 228
   Query 780: 456
   Query 781: 456
   Query 782: 72
   Query 783: 0
   Query 784: 456
   Query 785: 228
   Query 786: 684
   Query 787: 0
   Query 788: 0
   Query 789: 684
   Query 790: 456
   Query 791: 300
   Query 792: 798
   Query 793: 456
   Query 794: 456
   Query 795: 342
   Query 796: 228
   Query 797: 132
   Query 798: 228
   Query 799: 0
   Query 800: 168
   Query 801: 516
   Query 802: 228
   Query 803: 171
   Query 804: 0
   Query 805: 876
   Query 806: 792
   Query 807: 114
   Query 808: 228
   Query 809: 342
   Query 810: 570
   Query 811: 228
   Query 812: 456
   Query 813: 228
   Query 814: 732
   Query 815: 0
   Query 816: 380
   Query 817: 0
   Query 818: 504
   Query 819: 684
   Query 820: 12
   Query 821: 684
   Query 822: 0
   Query 823: 144
   Query 824: 0
   Query 825: 0
   Query 826: 228
   Query 827: 501
   Query 828: 456
   Query 829: 456
   Query 830: 456
   Query 831: 456
   Query 832: 380
   Query 833: 228
   Query 834: 456
   Query 835: 456
   Query 836: 456
   Query 837: 684
   Query 838: 432
   Query 839: 120
   Query 840: 456
   Query 841: 114
Case 3
   Query 1: 336
   Query 2: 348
   Query 3: 120
   Query 4: 336
   Query 5: 24
   Query 6: 168
   Query 7: 282
   Query 8: 288
   Query 9: 48
   Query 10: 12
   Query 11: 888
   Query 12: 432
   Query 13: 270
   Query 14: 900
   Query 15: 624
   Query 16: 120
   Query 17: 876
   Query 18: 744
   Query 19: 198
   Query 20: 696
   Query 21: 744
   Query 22: 864
   Query 23: 744
   Query 24: 576
   Query 25: 648
   Query 26: 528
   Query 27: 0
   Query 28: 264
   Query 29: 168
   Query 30: 168
   Query 31: 180
   Query 32: 120
   Query 33: 96
   Query 34: 72
   Query 35: 528
   Query 36: 168
   Query 37: 768
   Query 38: 744
   Query 39: 288
   Query 40: 504
   Query 41: 680
   Query 42: 600
   Query 43: 432
   Query 44: 288
   Query 45: 684
   Query 46: 192
   Query 47: 336
   Query 48: 516
   Query 49: 504
   Query 50: 720
   Query 51: 144
   Query 52: 408
   Query 53: 738
   Query 54: 576
   Query 55: 456
   Query 56: 636
   Query 57: 738
   Query 58: 672
   Query 59: 456
   Query 60: 744
   Query 61: 120
   Query 62: 504
   Query 63: 168
   Query 64: 744
   Query 65: 357
   Query 66: 576
   Query 67: 624
   Query 68: 288
   Query 69: 870
   Query 70: 852
   Query 71: 264
   Query 72: 624
   Query 73: 624
   Query 74: 840
   Query 75: 504
   Query 76: 696
   Query 77: 408
   Query 78: 681
   Query 79: 112
   Query 80: 576
   Query 81: 0
   Query 82: 384
   Query 83: 732
   Query 84: 240
   Query 85: 792
   Query 86: 456
   Query 87: 144
   Query 88: 168
   Query 89: 624
   Query 90: 0
   Query 91: 687
   Query 92: 384
   Query 93: 168
   Query 94: 864
   Query 95: 456
   Query 96: 624
   Query 97: 576
   Query 98: 48
   Query 99: 480
   Query 100: 864
   Query 101: 684
   Query 102: 348
   Query 103: 120
   Query 104: 728
   Query 105: 576
   Query 106: 720
   Query 107: 0
   Query 108: 576
   Query 109: 864
   Query 110: 480
   Query 111: 816
   Query 112: 840
   Query 113: 813
   Query 114: 408
   Query 115: 792
   Query 116: 408
   Query 117: 902
   Query 118: 128
   Query 119: 888
   Query 120: 336
   Query 121: 128
   Query 122: 0
   Query 123: 744
   Query 124: 0
   Query 125: 624
   Query 126: 864
   Query 127: 624
   Query 128: 32
   Query 129: 384
   Query 130: 462
   Query 131: 768
   Query 132: 624
   Query 133: 576
   Query 134: 120
   Query 135: 504
   Query 136: 432
   Query 137: 528
   Query 138: 456
   Query 139: 432
   Query 140: 120
   Query 141: 408
   Query 142: 288
   Query 143: 744
   Query 144: 864
   Query 145: 576
   Query 146: 336
   Query 147: 390
   Query 148: 855
   Query 149: 528
   Query 150: 204
   Query 151: 624
   Query 152: 348
   Query 153: 744
   Query 154: 861
   Query 155: 48
   Query 156: 48
   Query 157: 0
   Query 158: 48
   Query 159: 672
   Query 160: 120
   Query 161: 336
   Query 162: 0
   Query 163: 696
   Query 164: 606
   Query 165: 216
   Query 166: 864
   Query 167: 744
   Query 168: 552
   Query 169: 456
   Query 170: 24
   Query 171: 699
   Query 172: 136
   Query 173: 768
   Query 174: 864
   Query 175: 120
   Query 176: 336
   Query 177: 240
   Query 178: 0
   Query 179: 408
   Query 180: 216
   Query 181: 104
   Query 182: 792
   Query 183: 456
   Query 184: 216
   Query 185: 864
   Query 186: 672
   Query 187: 360
   Query 188: 312
   Query 189: 648
   Query 190: 456
   Query 191: 528
   Query 192: 480
   Query 193: 120
   Query 194: 288
   Query 195: 384
   Query 196: 744
   Query 197: 466
   Query 198: 513
   Query 199: 171
   Query 200: 864
   Query 201: 816
   Query 202: 858
   Query 203: 120
   Query 204: 120
   Query 205: 336
   Query 206: 0
   Query 207: 624
   Query 208: 840
   Query 209: 96
   Query 210: 480
   Query 211: 576
   Query 212: 900
   Query 213: 432
   Query 214: 624
   Query 215: 816
   Query 216: 624
   Query 217: 576
   Query 218: 342
   Query 219: 576
   Query 220: 168
   Query 221: 744
   Query 222: 456
   Query 223: 552
   Query 224: 336
   Query 225: 864
   Query 226: 504
   Query 227: 576
   Query 228: 726
   Query 229: 156
   Query 230: 624
   Query 231: 705
   Query 232: 864
   Query 233: 576
   Query 234: 168
   Query 235: 636
   Query 236: 0
   Query 237: 456
   Query 238: 288
   Query 239: 0
   Query 240: 906
   Query 241: 27
   Query 242: 42
   Query 243: 16
   Query 244: 744
   Query 245: 648
   Query 246: 684
   Query 247: 864
   Query 248: 876
   Query 249: 336
   Query 250: 288
   Query 251: 624
   Query 252: 360
   Query 253: 768
   Query 254: 240
   Query 255: 264
   Query 256: 342
   Query 257: 360
   Query 258: 732
   Query 259: 792
   Query 260: 384
   Query 261: 600
   Query 262: 399
   Query 263: 63
   Query 264: 552
   Query 265: 747
   Query 266: 0
   Query 267: 648
   Query 268: 528
   Query 269: 576
   Query 270: 504
   Query 271: 504
   Query 272: 120
   Query 273: 48
   Query 274: 0
   Query 275: 288
   Query 276: 648
   Query 277: 456
   Query 278: 72
   Query 279: 408
   Query 280: 792
   Query 281: 288
   Query 282: 648
   Query 283: 8
   Query 284: 906
   Query 285: 528
   Query 286: 528
   Query 287: 696
   Query 288: 120
   Query 289: 360
   Query 290: 27
   Query 291: 648
   Query 292: 456
   Query 293: 264
   Query 294: 48
   Query 295: 480
   Query 296: 286
   Query 297: 0
   Query 298: 168
   Query 299: 24
   Query 300: 648
   Query 301: 678
   Query 302: 288
   Query 303: 900
   Query 304: 240
   Query 305: 468
   Query 306: 522
   Query 307: 456
   Query 308: 0
   Query 309: 288
   Query 310: 669
   Query 311: 96
   Query 312: 480
   Query 313: 216
   Query 314: 768
   Query 315: 852
   Query 316: 48
   Query 317: 408
   Query 318: 402
   Query 319: 108
   Query 320: 906
   Query 321: 624
   Query 322: 96
   Query 323: 720
   Query 324: 576
   Query 325: 864
   Query 326: 168
   Query 327: 576
   Query 328: 192
   Query 329: 480
   Query 330: 720
   Query 331: 408
   Query 332: 432
   Query 333: 0
   Query 334: 192
   Query 335: 864
   Query 336: 168
   Query 337: 36
   Query 338: 816
   Query 339: 864
   Query 340: 120
   Query 341: 288
   Query 342: 528
   Query 343: 96
   Query 344: 384
   Query 345: 72
   Query 346: 0
   Query 347: 342
   Query 348: 456
   Query 349: 600
   Query 350: 864
   Query 351: 0
   Query 352: 504
   Query 353: 408
   Query 354: 770
   Query 355: 126
   Query 356: 456
   Query 357: 120
   Query 358: 240
   Query 359: 168
   Query 360: 792
   Query 361: 528
   Query 362: 204
   Query 363: 768
   Query 364: 200
   Query 365: 432
   Query 366: 768
   Query 367: 608
   Query 368: 678
   Query 369: 0
   Query 370: 168
   Query 371: 576
   Query 372: 567
   Query 373: 456
   Query 374: 744
   Query 375: 0
   Query 376: 792
   Query 377: 384
   Query 378: 0
   Query 379: 576
   Query 380: 456
   Query 381: 612
   Query 382: 264
   Query 383: 0
   Query 384: 864
   Query 385: 0
   Query 386: 576
   Query 387: 792
   Query 388: 576
   Query 389: 456
   Query 390: 270
   Query 391: 840
   Query 392: 342
   Query 393: 432
   Query 394: 168
   Query 395: 834
   Query 396: 696
   Query 397: 816
   Query 398: 480
   Query 399: 768
   Query 400: 592
   Query 401: 552
   Query 402: 840
   Query 403: 504
   Query 404: 168
   Query 405: 72
   Query 406: 0
   Query 407: 672
   Query 408: 672
   Query 409: 432
   Query 410: 633
   Query 411: 408
   Query 412: 768
   Query 413: 768
   Query 414: 900
   Query 415: 48
   Query 416: 24
   Query 417: 576
   Query 418: 336
   Query 419: 495
   Query 420: 816
   Query 421: 336
   Query 422: 576
   Query 423: 840
   Query 424: 576
   Query 425: 336
   Query 426: 864
   Query 427: 456
   Query 428: 72
   Query 429: 504
   Query 430: 624
   Query 431: 174
   Query 432: 560
   Query 433: 16
   Query 434: 648
   Query 435: 576
   Query 436: 536
   Query 437: 516
   Query 438: 480
   Query 439: 24
   Query 440: 492
   Query 441: 624
   Query 442: 864
   Query 443: 288
   Query 444: 192
   Query 445: 112
   Query 446: 608
   Query 447: 768
   Query 448: 192
   Query 449: 744
   Query 450: 120
   Query 451: 516
   Query 452: 408
   Query 453: 768
   Query 454: 468
   Query 455: 864
   Query 456: 288
   Query 457: 672
   Query 458: 180
   Query 459: 864
   Query 460: 504
   Query 461: 336
   Query 462: 792
   Query 463: 264
   Query 464: 561
   Query 465: 768
   Query 466: 288
   Query 467: 456
   Query 468: 576
   Query 469: 576
   Query 470: 0
   Query 471: 144
   Query 472: 712
   Query 473: 200
   Query 474: 360
   Query 475: 624
   Query 476: 864
   Query 477: 0
   Query 478: 864
   Query 479: 816
   Query 480: 576
   Query 481: 192
   Query 482: 450
   Query 483: 240
   Query 484: 184
   Query 485: 762
   Query 486: 24
   Query 487: 96
   Query 488: 468
   Query 489: 234
   Query 490: 60
   Query 491: 336
   Query 492: 720
   Query 493: 408
   Query 494: 408
   Query 495: 168
   Query 496: 104
   Query 497: 168
   Query 498: 288
   Query 499: 864
   Query 500: 504
   Query 501: 816
   Query 502: 616
   Query 503: 600
   Query 504: 72
   Query 505: 366
   Query 506: 624
   Query 507: 102
   Query 508: 96
   Query 509: 240
   Query 510: 156
   Query 511: 0
   Query 512: 408
   Query 513: 48
   Query 514: 240
   Query 515: 882
   Query 516: 456
   Query 517: 618
   Query 518: 744
   Query 519: 864
   Query 520: 456
   Query 521: 576
   Query 522: 96
   Query 523: 576
   Query 524: 408
   Query 525: 702
   Query 526: 168
