15
70 94 64
43 4 49 4
13 21 25 21
0 36 42 36
32 13 49 13
2 16 7 16
5 13 6 13
7 2 63 2
1 8 3 8
31 0 44 0
5 56 60 56
48 32 60 32
4 38 50 38
24 12 56 12
23 14 57 14
9 25 52 25
34 39 44 39
0 49 3 49
8 17 57 17
8 2 56 2
9 0 36 0
26 29 46 29
40 7 63 7
8 13 41 13
62 15 63 15
25 9 59 9
11 12 25 12
1 7 43 7
11 26 28 26
11 39 50 39
22 2 62 2
12 27 18 27
8 0 50 0
20 24 45 24
35 23 57 23
41 36 51 36
16 54 46 54
5 15 35 15
24 23 29 23
43 33 51 33
41 36 60 36
0 9 47 9
29 63 30 63
12 4 55 4
14 37 32 37
32 1 42 1
39 15 40 15
45 18 49 18
22 26 57 26
15 4 49 4
22 8 59 8
25 10 60 10
0 61 59 61
29 22 30 22
26 5 40 5
31 47 62 47
12 19 37 19
32 39 38 39
8 24 14 24
15 16 32 16
0 46 32 46
5 5 48 5
34 7 46 7
42 9 54 9
36 0 38 0
30 46 32 46
10 2 42 2
10 34 22 34
4 38 53 38
13 42 39 42
10 43 25 43
18 41 41 41
3 53 18 53
6 38 7 38
32 30 58 30
43 8 45 8
14 22 36 22
28 49 63 49
45 17 56 17
10 18 36 18
3 13 47 13
25 59 40 59
41 24 63 24
4 36 23 36
14 36 27 36
25 3 31 3
29 23 35 23
33 9 60 9
46 15 55 15
34 32 40 32
36 80 13
3 8 20 8
5 12 11 12
13 29 22 29
9 17 22 17
7 23 22 23
2 2 27 2
10 30 29 30
9 17 16 17
13 21 20 21
16 58 28 58
14 58 18 58
10 16 31 16
8 15 13 15
96 28 38
60 21 64 21
41 11 83 11
36 26 50 26
6 0 8 0
67 14 71 14
16 0 94 0
33 1 51 1
52 9 88 9
46 9 54 9
9 19 61 19
7 0 25 0
42 5 48 5
71 7 81 7
31 11 43 11
53 5 56 5
74 4 74 4
10 10 57 10
38 19 79 19
9 11 64 11
56 5 92 5
49 8 61 8
2 4 87 4
33 7 53 7
0 17 0 17
35 10 80 10
61 9 91 9
35 0 72 0
12 21 30 21
33 4 95 4
8 13 50 13
25 9 71 9
52 19 83 19
49 14 74 14
25 16 75 16
27 0 42 0
23 18 85 18
14 15 81 15
10 20 55 20
41 62 27
6 32 29 32
12 24 20 24
35 3 37 3
6 29 10 29
20 17 26 17
2 53 13 53
1 1 9 1
20 49 22 49
3 48 26 48
11 43 32 43
11 50 30 50
8 51 10 51
8 21 9 21
27 22 32 22
26 29 34 29
22 33 23 33
5 40 39 40
16 49 19 49
4 12 25 12
12 9 32 9
3 14 6 14
14 17 30 17
10 31 37 31
6 7 37 7
2 22 29 22
26 3 32 3
1 26 13 26
54 66 90
26 0 32 0
6 55 9 55
15 38 17 38
33 3 36 3
18 3 32 3
22 6 38 6
16 17 31 17
17 29 33 29
16 3 21 3
2 5 42 5
1 28 5 28
47 5 48 5
12 48 32 48
18 18 35 18
22 18 46 18
40 7 45 7
30 5 51 5
40 5 49 5
17 52 47 52
2 11 49 11
27 11 36 11
13 24 53 24
16 45 29 45
16 17 38 17
31 11 44 11
35 10 38 10
38 38 41 38
19 17 49 17
10 0 41 0
34 21 52 21
1 51 40 51
0 28 4 28
22 46 35 46
3 51 17 51
15 12 29 12
9 5 10 5
14 37 14 37
29 16 35 16
5 13 41 13
24 16 52 16
2 15 11 15
30 44 41 44
10 1 30 1
37 19 50 19
21 48 24 48
1 16 4 16
27 11 43 11
21 29 53 29
36 30 39 30
34 0 38 0
45 22 48 22
27 2 42 2
6 0 17 0
35 10 40 10
16 33 34 33
13 47 32 47
42 18 48 18
3 24 5 24
39 29 48 29
32 25 44 25
18 31 41 31
40 11 43 11
18 18 19 18
17 9 42 9
22 33 47 33
15 7 45 7
9 12 27 12
2 16 36 16
0 25 5 25
32 2 34 2
24 17 36 17
43 12 47 12
0 53 4 53
7 49 38 49
0 0 6 0
36 32 36 32
13 22 30 22
16 40 19 40
14 52 41 52
17 2 37 2
14 5 19 5
23 47 42 47
5 52 37 52
1 4 35 4
2 37 18 37
3 50 33 50
5 5 40 5
22 20 50 20
39 34 40 34
8 14 47 14
62 41 52
12 19 26 19
36 17 42 17
5 3 34 3
34 34 35 34
16 10 38 10
0 28 31 28
2 28 48 28
21 4 34 4
26 6 59 6
22 8 55 8
24 10 41 10
14 29 59 29
7 18 50 18
18 24 41 24
12 3 52 3
19 35 42 35
11 28 60 28
10 17 48 17
40 27 58 27
25 1 27 1
18 6 39 6
32 6 52 6
41 7 42 7
28 14 32 14
13 11 49 11
25 5 37 5
25 23 30 23
27 12 55 12
43 17 61 17
21 12 50 12
21 0 34 0
26 9 32 9
21 23 35 23
15 28 26 28
1 5 37 5
3 11 36 11
3 15 3 15
16 19 23 19
17 26 49 26
17 26 28 26
37 0 43 0
30 17 51 17
43 6 58 6
4 9 5 9
27 7 29 7
28 15 59 15
33 0 56 0
35 1 46 1
0 1 56 1
33 3 37 3
27 6 58 6
1 31 36 31
9 94 63
1 2 8 2
0 2 1 2
2 40 8 40
1 59 3 59
2 12 7 12
5 8 6 8
0 56 8 56
2 15 7 15
4 53 6 53
1 30 8 30
1 2 8 2
3 61 4 61
2 79 7 79
1 2 7 2
0 32 4 32
0 45 2 45
1 62 4 62
3 41 4 41
2 81 5 81
0 79 0 79
0 81 7 81
0 10 8 10
1 73 1 73
1 25 4 25
0 5 0 5
1 19 4 19
3 48 7 48
0 57 1 57
2 46 5 46
6 8 8 8
3 12 7 12
5 56 8 56
3 48 7 48
0 5 7 5
3 12 8 12
0 50 1 50
0 15 1 15
1 46 5 46
3 52 8 52
6 83 6 83
4 41 6 41
2 28 5 28
4 49 7 49
1 18 6 18
1 5 4 5
1 40 4 40
2 37 8 37
7 27 8 27
5 39 6 39
3 45 4 45
2 26 2 26
1 38 6 38
0 11 2 11
5 61 6 61
3 40 4 40
5 82 7 82
1 0 7 0
0 47 2 47
0 6 4 6
2 32 6 32
6 55 6 55
7 53 8 53
0 47 6 47
49 72 94
14 11 16 11
36 30 39 30
39 19 44 19
26 21 35 21
12 44 35 44
19 46 33 46
35 13 48 13
38 54 42 54
2 3 18 3
22 1 40 1
1 16 36 16
6 9 25 9
31 23 44 23
11 20 23 20
22 42 36 42
6 31 36 31
1 0 38 0
21 21 29 21
27 47 33 47
28 2 42 2
1 54 8 54
8 19 31 19
5 24 26 24
7 34 41 34
7 55 7 55
42 60 45 60
23 2 24 2
33 31 36 31
15 18 47 18
13 53 25 53
9 9 40 9
12 26 20 26
13 10 31 10
12 24 18 24
5 68 32 68
7 22 10 22
41 6 47 6
30 9 45 9
27 30 35 30
10 31 40 31
25 55 30 55
15 11 41 11
15 30 41 30
21 0 43 0
0 9 14 9
11 9 36 9
26 56 40 56
35 2 39 2
10 0 45 0
10 10 20 10
4 12 20 12
8 33 38 33
11 16 14 16
8 9 32 9
25 4 28 4
15 10 40 10
22 26 35 26
13 20 24 20
15 5 23 5
5 45 36 45
8 13 18 13
6 60 18 60
7 40 19 40
1 42 16 42
10 57 19 57
22 17 41 17
38 20 44 20
22 33 46 33
19 56 29 56
6 24 17 24
5 2 15 2
32 29 38 29
0 34 22 34
14 37 24 37
2 4 31 4
7 25 12 25
9 6 12 6
1 0 44 0
14 31 31 31
1 42 42 42
21 35 34 35
14 16 42 16
9 1 40 1
9 35 21 35
0 43 7 43
5 1 12 1
30 7 35 7
12 21 22 21
2 17 16 17
44 32 45 32
33 37 38 37
1 45 48 45
4 52 25 52
21 53 27 53
21 92 68
5 12 20 12
3 43 4 43
9 20 12 20
0 0 16 0
12 19 17 19
5 13 19 13
16 77 18 77
5 22 12 22
5 63 16 63
1 10 5 10
1 42 8 42
15 50 19 50
3 64 10 64
4 29 13 29
19 49 20 49
6 23 11 23
2 39 4 39
15 11 19 11
5 24 17 24
4 4 4 4
3 64 3 64
6 24 19 24
8 41 14 41
10 42 17 42
5 12 18 12
12 46 19 46
17 15 18 15
1 57 10 57
6 38 16 38
15 12 20 12
2 13 9 13
2 40 2 40
1 5 12 5
2 50 19 50
9 21 19 21
10 46 13 46
9 6 20 6
4 9 18 9
8 20 9 20
11 16 16 16
14 27 14 27
1 27 12 27
4 45 19 45
14 12 15 12
10 78 12 78
5 62 12 62
4 38 18 38
6 19 9 19
11 81 13 81
2 22 12 22
9 16 10 16
6 29 15 29
4 39 5 39
1 40 18 40
5 82 12 82
13 19 17 19
12 15 20 15
2 57 15 57
11 20 18 20
6 0 18 0
7 34 19 34
14 28 17 28
1 39 19 39
2 29 11 29
1 34 12 34
2 80 19 80
18 59 18 59
11 47 15 47
65 48 86
43 11 55 11
7 4 36 4
7 14 19 14
21 18 24 18
16 11 29 11
29 4 42 4
20 6 40 6
5 2 9 2
29 3 51 3
57 1 63 1
17 38 31 38
55 18 58 18
17 29 60 29
26 0 31 0
29 5 44 5
28 16 54 16
20 4 39 4
27 1 58 1
48 0 56 0
3 7 50 7
53 19 54 19
32 29 39 29
9 22 64 22
32 24 44 24
3 37 21 37
29 17 61 17
24 38 29 38
1 32 22 32
16 8 27 8
21 9 27 9
48 15 58 15
5 8 33 8
7 6 61 6
40 1 44 1
28 21 59 21
29 13 55 13
60 22 64 22
57 3 58 3
49 8 59 8
9 8 26 8
12 0 16 0
2 15 55 15
46 32 60 32
17 10 19 10
48 9 49 9
23 14 31 14
28 20 35 20
12 3 21 3
28 10 63 10
24 46 39 46
0 28 45 28
41 13 63 13
12 19 28 19
1 32 63 32
6 4 19 4
15 18 64 18
0 10 3 10
45 8 60 8
3 28 18 28
27 0 50 0
20 21 22 21
1 2 51 2
38 1 56 1
21 25 42 25
0 5 4 5
5 3 60 3
11 0 14 0
9 35 17 35
13 12 51 12
24 18 63 18
48 6 63 6
6 1 37 1
38 7 46 7
62 31 64 31
49 0 56 0
8 11 23 11
38 6 52 6
44 23 52 23
1 3 63 3
0 19 13 19
22 10 37 10
23 1 38 1
1 5 47 5
14 3 42 3
19 25 40 25
4 13 53 13
93 92 62
8 79 71 79
23 3 61 3
33 45 81 45
12 19 31 19
5 58 50 58
22 43 68 43
1 36 74 36
20 79 50 79
19 67 52 67
21 38 30 38
3 3 45 3
63 46 71 46
45 24 90 24
26 33 42 33
57 8 75 8
11 16 89 16
54 9 58 9
79 3 85 3
51 1 88 1
11 6 24 6
76 3 84 3
28 11 46 11
40 33 66 33
50 44 59 44
9 15 44 15
58 41 92 41
79 19 86 19
16 40 36 40
22 16 49 16
42 59 68 59
2 27 24 27
22 58 84 58
81 0 92 0
37 4 92 4
9 54 16 54
15 34 28 34
50 1 70 1
5 7 24 7
65 24 84 24
6 55 58 55
71 54 73 54
18 70 61 70
37 36 66 36
19 44 25 44
12 28 50 28
2 18 5 18
44 48 62 48
42 1 64 1
18 63 81 63
38 16 39 16
33 13 52 13
10 36 66 36
36 10 36 10
0 32 15 32
30 59 88 59
10 22 42 22
3 46 58 46
44 31 74 31
51 2 73 2
26 12 69 12
27 18 53 18
7 22 65 22
